Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
117,19_M01T02.02A,C4,Riffle Pool,CEFD,5,132.58153,590.0640049,41.84786552,17.79945139,15.58029066,0.4,5.993150685,0.347123288,2.910958767,44.92308044,1.227272749,11.93167563,13.04174889,33.8946281,6.77892562,0.111017562,28.39583168,0.504737465
118,19_M01T02.02B,C4,Plane Bed,UST,3,135.019811,559.2807071,41.22611954,8.826577263,78.4078309,0.8,17.26519337,0.966850829,6.80248642,11.13846207,1.825396776,13.26649916,75.64910905,5.364032698,3.576021798,0.542934605,56.25861695,0.70046008
119,19_M01T02.02C,F4,Riffle Pool,FSTCD,4,139.5915879,738.7991466,38.11410403,11.0941786,82.09185285,1.2,17.85714286,1.138392857,1.346153736,16.25,2.365079165,15.03137696,78.89143369,20.30321782,5.414191419,0.064746287,80.31666411,0.866559156
120,19_M01T02.02D,F3,Plane Bed,UST,3,148.7351417,304.7851265,37.45880864,7.772020725,226.3087544,1.4,15.68627451,1.372549019,1.235294104,11.08695698,2.90625,59.64670837,218.6098046,13.124,0,0.039925,92.68457153,1.16806526
121,19_M01T02.02E,C3,Riffle Pool,UST,3,153.0021335,931.4233465,37.38764064,10.66747943,233.0497506,1.2,11.42857143,4.15782313,2.428571463,17.5,1.785714269,63.40952713,186.7808807,16.10438482,6.441753927,0.00635962,79.3487956,0.535352072
122,19_M01T02.03-,B3,Step Pool,TR,1,164.5839683,2162.755258,37.0388264,11.64279183,286.3208003,2.254791498,2.748691099,0.755890052,1.623036623,21.46067429,1,71.12280133,282.6936827,11.09695603,2.774239008,0.042353439,148.2179667,1.47244767
123,19_M01T02.04-,C3,Step Pool,UST,3,213.3495885,2094.788174,30.07677022,8.381590978,312.9765193,1.745962501,3.636363636,0.996363636,3.272727251,11.22448921,1.289473772,76.54429105,299.1206844,16.23075804,2.864251419,0.237800815,100.6609401,1.872497157
124,19_M01T02.05-,C4,Riffle Pool,CEFD,5,249.9238037,3448.948491,17.20742906,8.351112466,71.09394094,1.325556755,3.649635036,0.274408649,3.594890594,14.81081009,1,46.46421952,59.32225744,32.47366561,5.218981972,0.058556027,53.75759302,1.028052325
125,26_M01A,A4c,Riffle Pool,CST,2,67.05272783,481.5604998,301.3918193,32.58153002,190.4352317,0.1,1.449953227,1.026645666,1.075771689,23.23913193,1,20.58778473,188.3211957,4.153164557,0,0.091113924,24.62596372,0.14289489
126,26_M01B,A1c,Bedrock,TR,1,67.66229808,662.2980799,301.2654545,32.37066446,2936.740348,0.7,1.412320993,0.160177869,1.4,12,1,234.4218561,2740.862783,1.509894156,0,0.029588127,172.3362095,3.826373671
